iter	MAPE	RMSE
78	0.3334417295	47397588.78
79	0.3306480953	47186765.93
80	0.3267275337	46797855.08
81	0.3242177763	46626647.69
82	0.3227141111	46505758.8
83	0.3215691856	46318274.3
84	0.3187976442	46102777.49
85	0.31686706	45823205.1
86	0.3139441858	45638358.61
87	0.3110834833	45525587.24
88	0.309530525	45321766.53
89	0.3066537155	45111178.66
90	0.3033819386	44859600.28
91	0.3019422766	44612781.53
92	0.2997200563	44420557.36
93	0.2969445834	44230815.35
94	0.2943408826	44067662
95	0.2929300074	43952793.03
96	0.2914131363	43834264.43
97	0.2898540254	43705478.88
98	0.2890612677	43597157.27
99	0.2860337595	43330624.09
100	0.2849605354	43219442.67
101	0.2826140914	42970190.25
102	0.2804853648	42745833.66
103	0.2792788208	42592983.02
104	0.2775475086	42438797.19
105	0.2769570928	42317308.21
106	0.2749878642	42042875.08
107	0.2743406254	41897219.88
108	0.2728017253	41776509.47
109	0.2719661557	41614805.62
110	0.2715226381	41536781.6
111	0.2694227463	41389790.17
112	0.2678460424	41290847.68
113	0.2663068639	41114143.23
114	0.2660485179	41098842.16
115	0.2648079543	41016897.28
116	0.2643307541	40876287.9
117	0.2629784225	40758942.4
118	0.2618953346	40645885.87
119	0.2612620319	40572521.66
120	0.2600932067	40389138.23
121	0.2585879328	40288297.01
122	0.2581946908	40249929.39
123	0.2572409234	40130920.84
124	0.2563891205	39878133.09
125	0.255582024	39768760.19
126	0.2536626114	39571147.16
127	0.2529546708	39444207.85
128	0.2520790018	39275559.41
129	0.2515764783	39044652.12
130	0.2499198784	38814052.53
131	0.2492053436	38746170.78
132	0.2478907071	38630402.49
133	0.2475750555	38439378.76
134	0.2474784448	38337470.81
135	0.2465791263	38197118.18
136	0.2461447241	38119261.65
137	0.2455868147	37993167.52
138	0.2448086121	37894761.52
139	0.2445366163	37769868.92
140	0.2441025875	37674086.71
141	0.2422864733	37411615.97
142	0.2415814376	37250161.27
143	0.2411023851	37166713.95
144	0.2405110505	37009066.35
145	0.2400012248	36880077.46
146	0.2395822352	36823793.3
147	0.2387363581	36671037.77
148	0.2373416779	36468740.6
149	0.2366457665	36348202.45
150	0.2359249215	36221204.93
151	0.235692601	36154612.74
152	0.2353756611	36084387.71
153	0.2346123178	36010512.98
154	0.2336640162	35884646
155	0.2333636912	35783500.98
156	0.2323892705	35641596.39
157	0.2320092449	35563208.23
158	0.2317651943	35439562.6
159	0.2312471727	35285710.67
160	0.230533272	35088620.08
161	0.2300255754	34975998.65
162	0.2298274572	34875318.33
163	0.2287194933	34720991.15
164	0.228405107	34608190.22
165	0.2285380719	34538475.92
166	0.2274562772	34456861.8
167	0.2271385788	34327065.04
168	0.2261269078	34222683.18
169	0.2258291105	34123954.17
170	0.2256938617	34070281.18
171	0.2254530785	33975338.95
172	0.2250999368	33892465.66
173	0.2249210633	33827116.74
174	0.2245551314	33747896.23
175	0.2237096644	33607964.98
176	0.2231235004	33485326.64
177	0.2225723656	33366035.98
178	0.2216254923	33268786.65
179	0.2216598464	33174320.62
180	0.2213182444	33059331.88
181	0.2210510083	32978797.59
182	0.2209419368	32915394.75
183	0.2201296643	32813000.62
184	0.2197022687	32750377.06
185	0.2193438718	32648892.45
186	0.2187865538	32576015.98
187	0.2184254162	32536241.91
188	0.2184818889	32478752.15
189	0.2183146604	32428243.33
190	0.217950857	32347584.1
191	0.2172406636	32291438.19
192	0.2166918712	32137673.3
193	0.2161879349	32058713.21
194	0.2154904041	31890067.52
195	0.2150415629	31831956.67
196	0.2147222377	31786025.75
197	0.2143878127	31721819.11
198	0.2139493999	31625307.25
199	0.2133502759	31544779.28
200	0.2128375985	31515708.44
201	0.2122356249	31440944.58
202	0.2120217828	31381888.2
203	0.2112971008	31265272.72
204	0.21121831	31207166.7
205	0.2110290828	31184154.3
206	0.2105632113	31129513.71
207	0.2102225985	31074582.44
208	0.2100502007	31021950.54
209	0.2095213187	30956211.22
210	0.2095440777	30936151.82
211	0.2090200695	30866363.06
212	0.2085015525	30776971.77
213	0.2081879974	30705358.13
214	0.2079980146	30647748.52
215	0.2075586183	30548868.08
216	0.2074656885	30518545.77
217	0.2070278999	30480588.85
218	0.2068423607	30385466.11
219	0.2065874781	30333387.89
220	0.2062204895	30292411.22
221	0.2058189149	30253421.95
222	0.2049865255	30191984.06
223	0.2047977761	30144485.34
224	0.2045177351	30079231.2
225	0.2038925679	29997308.34
226	0.2038367885	29954460.18
227	0.2034494267	29889837.15
228	0.2032974229	29805331.1
229	0.2033472436	29752069.58
230	0.2030007114	29697583.58
231	0.2024776545	29633890.03
232	0.2019168791	29585204.26
233	0.2018604198	29542138.83
234	0.2016124997	29436222.12
235	0.2010585064	29363026.36
236	0.2009587222	29317636.67
237	0.2006441578	29234254.49
238	0.200110195	29187648.28
239	0.2000177071	29127110.94
240	0.1996937207	29088116.39
241	0.1994259112	29018431.75
242	0.1987479692	28931296.49
243	0.1982404005	28852934.2
244	0.1979144749	28795984.09
245	0.1975265739	28744057.32
246	0.1971477128	28659953.68
247	0.1968048614	28622829.83
248	0.1966822481	28544308.68
249	0.1957318821	28489305.4
250	0.1954192557	28440742.6
251	0.1953323471	28408606.49
252	0.1949891393	28352844.75
253	0.1945178777	28264799.52
254	0.1943145279	28208726.1
255	0.1941266136	28139568.96
256	0.1938801007	28116372.3
257	0.1936305479	28077129.84
258	0.1937587991	28034686.71
259	0.193388318	27953027.84
260	0.1931001446	27912632.17
261	0.192657487	27823550.33
262	0.1923361287	27793810.9
263	0.1920055829	27720343.06
264	0.1915456713	27662908.5
265	0.1912486935	27634958.61
266	0.1912158416	27599320.58
267	0.1906729106	27506215.85
268	0.190440705	27461622.41
269	0.1902612897	27415699.41
270	0.1901488489	27374649.18
271	0.1899286334	27328017.89
272	0.1895929919	27226642.71
273	0.1894228211	27200018.61
274	0.1892557749	27164735.91
275	0.188939968	27097094.88
276	0.188550454	27028286.38
277	0.1883597046	26976145.37
278	0.1878176913	26900605.39
279	0.1875997729	26833207.53
280	0.1875930075	26813804.92
281	0.1872456402	26749311.95
282	0.1872165015	26717221.71
283	0.186873182	26652645.04
284	0.1865565482	26591545.03
285	0.1863203931	26531576.43
286	0.1861480895	26466851.44
287	0.1861099825	26449488.01
288	0.185690424	26423033.04
289	0.1853481491	26366215.09
290	0.1850637263	26329269.71
291	0.1847823612	26274977.02
292	0.1845089435	26190736.83
293	0.1840501117	26076777.68
294	0.1839201605	26060539.12
295	0.1837378647	25999421.09
296	0.1832580793	25982744.02
297	0.1827687127	25885682.44
298	0.1823669859	25833661.08
299	0.1822221008	25815600.06
300	0.1821889183	25797668.16
301	0.1819784945	25737468.32
302	0.1819037782	25698347.25
303	0.1816864377	25647652.1
304	0.1812424234	25602976.17
305	0.1808547918	25513670.8
306	0.1805721471	25454524.3
307	0.1805110857	25417025.07
308	0.1804511873	25389833.38
309	0.1801521065	25285062.05
310	0.1796279695	25185362.07
311	0.1792312986	25090591.44
312	0.1789069877	25021940.58
313	0.1787084429	24969785.74
314	0.178590806	24946310.98
315	0.1782781208	24874728.56
316	0.1780417711	24821886.19
317	0.1779152849	24766931.93
318	0.1775441102	24720504.64
319	0.1773758045	24677442.12
320	0.1770574291	24590145.23
321	0.1768662978	24529406.89
322	0.1766496044	24512141.33
323	0.1760111524	24454704.43
324	0.1759559793	24404179
325	0.1757967409	24347940.93
326	0.1755581424	24289263.64
327	0.1752546253	24255456.95
328	0.1752533859	24214423.34
329	0.1750691475	24162551.41
330	0.1748047312	24100608.69
331	0.1743597217	24008396.06
332	0.1742122924	23987889.5
333	0.1740520909	23919684.22
334	0.1738519663	23890320.55
335	0.1735859203	23839659.82
336	0.1731915115	23782249.82
337	0.1729056543	23730503.82
338	0.1726085494	23706837.05
339	0.1723366325	23642894.1
340	0.1722699117	23616814.76
341	0.1717214358	23591583
342	0.1713986737	23537043.08
343	0.1705556278	23497363.7
344	0.1704961083	23473200.9
345	0.1703885397	23415076.25
346	0.1702790917	23378629.29
347	0.1699775537	23305853.42
348	0.1697632203	23249191.92
349	0.1696651874	23200781.39
350	0.1696214046	23188805.77
351	0.1695499845	23137712.5
352	0.16912296	23091913.24
353	0.1688116768	23062499.35
354	0.1686921483	23011725.07
355	0.168644434	22969230.15
356	0.1684292978	22944118.74
357	0.1682739647	22901422.96
358	0.1680996757	22877222.78
359	0.1678919373	22843017.25
360	0.1677162768	22807665.53
361	0.1677133836	22773893.27
362	0.1673753763	22741935.82
363	0.1671653988	22713460.14
364	0.1670223691	22644401.24
365	0.1668685742	22611657.72
366	0.1667456104	22573901.51
367	0.1667035247	22539652.68
368	0.1662101293	22498433.76
369	0.166075536	22464337.75
370	0.1658588285	22416875.02
371	0.1656293313	22380357.32
372	0.1651987124	22321617.07
373	0.1649892184	22291832.64
374	0.1648735142	22266597.53
375	0.1644851689	22227416.1
376	0.16433034	22173004.35
377	0.1639866034	22125084.29
378	0.1636868907	22088866.41
379	0.1635075273	22065690.55
380	0.163254445	22044232.04
381	0.1631573042	22012591.9
382	0.1629864038	21978529.79
383	0.1621429527	21950360.3
384	0.16193226	21892995.82
385	0.161848442	21858291.1
386	0.1617016179	21819310.36
387	0.1614295488	21758545.43
388	0.1613293522	21726787.37
389	0.161315446	21691854.07
390	0.1608905669	21665504.43
391	0.1608224937	21627744.83
392	0.1608362891	21605602.67
393	0.1607716376	21585402.5
394	0.1605486662	21546475.24
395	0.160393534	21522135.27
396	0.1603088279	21504965.99
397	0.1600315324	21486302.44
398	0.1599048478	21452901.92
399	0.1599840103	21419359.5
400	0.159904194	21403049.58
401	0.1598087425	21390831.62
402	0.1597233455	21362381.91
403	0.1595484108	21323802
404	0.1593724987	21284181.43
405	0.1591650785	21247429.86
406	0.1590222096	21211676.85
407	0.1587447158	21190877.83
408	0.1585785129	21158227.45
409	0.1584559296	21127628.51
410	0.158270853	21073952.95
411	0.1580192935	21036898.23
412	0.1578824596	21020392.66
413	0.1575546974	20973676.66
414	0.157291081	20921434.18
415	0.1569775942	20888021.21
416	0.1568357879	20854725.2
417	0.1563110383	20803221.08
418	0.1563098164	20768729.66
419	0.1561168472	20741072.36
420	0.155948211	20720697.61
421	0.1558393277	20702483.41
422	0.1555843161	20661523.53
423	0.1553478933	20637807.95
424	0.1551687343	20586763.02
425	0.1550690205	20564645.22
426	0.1549442198	20537222.68
427	0.1548713358	20502258.39
428	0.1548239311	20473398.05
429	0.1546922644	20442395.47
430	0.1544537803	20421417.76
431	0.15409645	20381438.81
432	0.1539190812	20344124.98
433	0.153504177	20329912.43
434	0.1534964019	20322524.58
435	0.15336124	20309085.24
436	0.1529567563	20255874.79
437	0.1529016005	20247054.58
438	0.152623497	20229931.34
439	0.1524968609	20200660.88
440	0.1524274737	20164903.61
441	0.1522011389	20127908.53
442	0.1519752391	20086548.74
443	0.1518497739	20058933.13
444	0.1516277731	20050087.06
445	0.1514512762	20019267.74
446	0.1511121581	19955633.05
447	0.1509666881	19920321.74
448	0.1507038279	19871130.95
449	0.1505830227	19833833.21
450	0.1499737157	19811857.63
451	0.1497703212	19793476.77
452	0.1495406864	19750410.51
453	0.14915494	19707168.51
454	0.1489693551	19666781.52
455	0.1488090558	19625070.75
456	0.14861115	19583521.5
457	0.1483535853	19560126.11
458	0.1481911061	19527914.99
459	0.1480311386	19506186.47
460	0.1478796385	19459588.25
461	0.1477651401	19431515.88
462	0.1476305426	19401606.78
463	0.1474273949	19387740.68
464	0.147344426	19354887.07
465	0.1471315371	19341023.52
466	0.1471080411	19313257.98
467	0.1470279501	19290086.06
468	0.1468484505	19279990.3
469	0.1466755222	19258575.63
470	0.1464227579	19247065.56
471	0.1464562426	19234920.17
472	0.1463016093	19211086.99
473	0.1462373856	19180437.14
474	0.1461014705	19164643.36
475	0.1459512229	19137161.29
476	0.1458367206	19125168.66
477	0.1457629709	19107159.38
478	0.1456457748	19084760.93
479	0.1452358632	19069671.62
480	0.1450322746	19034536.92
481	0.1449502119	19024614.9
482	0.1448920767	19011990.44
483	0.1447074683	18977843.37
484	0.1444416471	18959376.64
485	0.1443957413	18949708.82
486	0.1441126054	18917605.64
487	0.1440936524	18906571.04
488	0.1439378113	18891099.85
489	0.1437912264	18851534.73
490	0.1436052175	18829357.42
491	0.1434764917	18816613.25
492	0.1433814562	18812627.19
493	0.1432351291	18783378.19
494	0.1429505157	18758495.54
495	0.1428719099	18747036.62
496	0.1427470345	18733791.66
497	0.142512472	18682667.82
498	0.1423851585	18673733
499	0.1422672845	18655272.64
500	0.1421509732	18639547.25
501	0.1420376168	18609097.82
502	0.1419348473	18591209.58
503	0.1418718065	18566804.19
504	0.141657513	18553365.76
505	0.1415288313	18508565.7
506	0.1414512432	18480558.44
507	0.1413054452	18467542.64
508	0.1408497366	18430345.59
509	0.1406364679	18385415.43
510	0.1403977399	18367186.4
511	0.140167965	18332598.8
512	0.1400771618	18324309.68
513	0.1398829021	18315000.77
514	0.139571767	18278251.59
515	0.139551803	18271342.45
516	0.1393591685	18211077.75
517	0.139363171	18204431.75
518	0.1393573565	18196727.93
519	0.1391360149	18154535.43
520	0.1389816093	18141812.87
521	0.1386963277	18128768.57
522	0.1385365897	18075665.69
523	0.1383985332	18049538.24
524	0.1383814955	18043094.17
525	0.1381808839	18000205.31
526	0.1381680258	17993025.71
527	0.1380732375	17991546.39
528	0.1378345675	17964453.07
529	0.1377889076	17937475.81
530	0.1375667432	17914956.08
531	0.1373948095	17866491.12
532	0.1373032343	17861500.31
533	0.137153274	17849889.93
534	0.136861254	17837387.61
535	0.1368441739	17806042.1
536	0.1366139206	17772744.68
537	0.1363822875	17757293.6
538	0.1362268013	17751558.04
539	0.1360157983	17703367.62
540	0.1357512181	17688829.83
541	0.1357064846	17684441.62
542	0.135472404	17643905.68
543	0.1354304233	17633335.29
544	0.1353397102	17631751.04
545	0.1352629565	17597364.78
546	0.1351919758	17587521.56
547	0.1347759473	17566886.08
548	0.1343917811	17546284.8
549	0.1341878554	17541429.59
550	0.1341276719	17511740.26
551	0.1339787769	17474420.83
552	0.1337440001	17442820.19
553	0.1337315586	17437100.81
554	0.1337345024	17431168.83
555	0.133637829	17392415.27
556	0.1335423228	17369516.11
557	0.1334695772	17337467.99
558	0.1333316703	17316191.73
559	0.1333309147	17309594.16
560	0.133171076	17278805.79
561	0.1330302201	17265361.36
562	0.1329223153	17237097.56
563	0.1328636843	17225915
564	0.1327859415	17216781.16
565	0.1327485171	17211141.58
566	0.1324870149	17176261.67
567	0.132349159	17163412.26
568	0.1322211616	17115677.44
569	0.1322113551	17110422.81
570	0.1321803317	17091585.94
571	0.1321296157	17065098.08
572	0.1319818733	17024186.77
573	0.1318629142	17001854.52
574	0.1317857031	16966487.04
575	0.131567747	16937171.43
576	0.1314343472	16896672.04
577	0.1311220483	16891828.21
578	0.1308478889	16872935.68
579	0.1308376937	16865179.41
580	0.130716124	16857758.64
581	0.1304843362	16821842.67
582	0.1304561986	16814392.61
583	0.1304239435	16808982.75
584	0.1304100886	16801843.63
585	0.130295774	16780048.54
586	0.1301369855	16763289.65
587	0.1301269189	16755986.13
588	0.1300208099	16740547.63
589	0.129955296	16739291.4
590	0.1299118998	16734972.33
591	0.1296659451	16707369.01
592	0.1296593129	16703102.29
593	0.1295080604	16664921.51
594	0.1294607646	16651831.5
595	0.1293439623	16638454.27
596	0.1291268269	16621844.2
597	0.1289132021	16603349.28
598	0.1287776997	16591921.83
599	0.1287688633	16588084.03
600	0.1286315769	16551803.1
601	0.1284552667	16540573.61
602	0.128394376	16539375.7
603	0.1283805179	16532729.7
604	0.1282253905	16520478.73
605	0.1281049115	16499736.48
606	0.1280989413	16492105.95
607	0.1280631117	16469608.05
608	0.1278427169	16440791.92
609	0.1277619829	16400514.46
610	0.1275579058	16368492.63
611	0.127424408	16352223.98
612	0.1273224358	16327146.64
613	0.1271438829	16275391.31
614	0.1269889065	16240805.25
615	0.1268065268	16229309.67
616	0.1267993663	16223481.7
617	0.1265699648	16194560.23
618	0.1264735709	16172881.22
619	0.1263994322	16160517.55
620	0.1263166504	16156761.62
621	0.1262463721	16138455.88
622	0.1260343678	16129085.93
623	0.1258026638	16102168.36
624	0.1256278623	16099127.98
625	0.1253696426	16086452.94
626	0.1251997048	16056798.98
627	0.1251779863	16055955.7
628	0.1250964678	16054406.49
629	0.1249836039	16022111.73
630	0.1249537186	16014489.72
631	0.1248989759	16004300.53
632	0.1248603149	15993203.2
633	0.1247721567	15979246.05
634	0.1246913222	15976096.86
635	0.1245099218	15944740.09
636	0.1243117371	15911163.61
637	0.1242675035	15905430.42
638	0.1242141109	15895515.18
639	0.1241653266	15872335.96
640	0.1241006622	15855739.67
641	0.1239516444	15844321.58
642	0.1238391063	15829762.79
643	0.1237796616	15819126.06
644	0.1236277072	15792209.69
645	0.123551699	15787664.12
646	0.1234289419	15780139.68
647	0.1233857152	15775909.8
648	0.1233473693	15769621.61
649	0.123224429	15744758.98
650	0.1231773889	15730616.45
651	0.12305388	15693413.63
652	0.1230342974	15689572.06
653	0.1229023336	15673228.85
654	0.1227634016	15663602.28
655	0.1226394682	15661754.19
656	0.122631971	15652475.19
657	0.1224524706	15641255.55
658	0.1222711251	15608560.42
659	0.1222188028	15605454.95
660	0.1219649599	15562292.51
661	0.1218097139	15532327.27
662	0.1218289212	15519384.24
663	0.1218112297	15514045.91
664	0.121707045	15489194.74
665	0.1214428844	15456967.47
666	0.1214361741	15445040.97
667	0.1213827351	15424732.16
668	0.1212765672	15400871.2
669	0.1211679363	15394237.61
670	0.1210241308	15355550.68
671	0.1209918397	15336482.69
672	0.1208344319	15324435.99
673	0.1206998796	15298726.65
674	0.1206328773	15285367.63
675	0.1206009291	15284365.43
676	0.1203234024	15270382.45
677	0.1202517751	15262897.12
678	0.1201133402	15235801.35
679	0.1200105981	15220270.31
680	0.1199724039	15216515.54
681	0.119903318	15198846.95
682	0.1198072963	15177885.76
683	0.1197223297	15170973.2
684	0.1195984086	15157110.92
685	0.119457945	15142054.58
686	0.1193042919	15111710.12
687	0.1192477336	15104117.06
688	0.1191990483	15080509.19
689	0.1191603731	15072744.39
690	0.1191301609	15071819.26
691	0.1190828645	15058838.48
692	0.1189683077	15039034.46
693	0.1186774446	15008031.3
694	0.1185439368	14992218.91
695	0.1184307385	14959775.84
696	0.1184082205	14956616.21
697	0.1183721063	14951173.08
698	0.1180888488	14925895.46
699	0.1179845385	14914013.75
700	0.1179412656	14913068.39
701	0.1179103284	14905265.58
702	0.1178604619	14881277.44
703	0.1177535334	14862577.1
704	0.1175643131	14839060.22
705	0.1174742375	14825925.2
706	0.1174257055	14825024.42
707	0.1173107343	14806385.61
708	0.1172700885	14802800.33
709	0.1170842867	14788832.32
710	0.1170037679	14787452.41
711	0.1168671035	14758350.29
712	0.1168347147	14755015.27
713	0.1167469677	14735234
714	0.1166645268	14713240.92
715	0.1166415579	14700420.95
716	0.1165705705	14694346.61
717	0.1164534882	14659642.11
718	0.1162952767	14646420.36
719	0.1162336424	14645431.79
720	0.1161418694	14631223.14
721	0.1159305561	14592850.35
722	0.1158981512	14588813.01
723	0.1158293277	14586084.04
724	0.11582361	14571825.73
725	0.1157482587	14570500.61
726	0.115491852	14536664.42
727	0.1154916976	14531356.58
728	0.1154706171	14523181.84
729	0.11539362	14503712.81
730	0.1153472568	14487665.23
731	0.1151420968	14453840.8
732	0.1149394151	14417673.27
733	0.1148034541	14409947.63
734	0.1147038996	14400092.78
735	0.11458005	14371767.89
736	0.114577409	14363944.25
737	0.1145001155	14342979.15
738	0.1144177841	14333565.73
739	0.1143373352	14312434.41
740	0.114346812	14308792.79
741	0.1143124268	14288835.21
742	0.1141490446	14280809.35
743	0.1140208161	14250628.12
744	0.1140237594	14245853.91
745	0.1139927835	14233837.54
746	0.1139363651	14220700.01
747	0.1138901022	14209988.59
748	0.1137880073	14208988.02
749	0.1136386546	14174947.58
